ID,Date,Age,Income,Gender,City,Purchase,Irrelevant_Column
1,2023-01-01,25.0,50000.0,Male,New York,Yes,Hello
1,2023-01-01,25.0,50000.0,Male,New York,Yes,Hello
2,2023-01-02,30.0,,Female,Boston,No,
3,2023-01-03,22.0,60000.0,Male,Los Angeles,Yes,
4,2023-01-04,35.0,45000.0,Female,Chicago,No,
5,2023-01-05,28.0,52000.0,Male,Miami,Yes,
6,2023-01-06,,49000.0,Female,Houston,No,
7,2023-01-07,32.0,,Male,San Francisco,Yes,
8,2023-01-08,45.0,47000.0,Female,Dallas,No,
9,2023-01-09,37.0,58000.0,,Seattle,Yes,
10,2023-01-10,29.0,53000.0,Male,Austin,No,
11,2023-01-11,26.0,51000.0,Female,Denver,Yes,
12,2023-01-12,,55000.0,Male,Orlando,No,
13,2023-01-13,33.0,,Female,Atlanta,Yes,
14,2023-01-14,34.0,62000.0,Male,Phoenix,No,
15,2023-01-15,36.0,61000.0,Female,Portland,Yes,
16,2023-01-16,31.0,54000.0,Male,New York,Yes,
17,2023-01-17,38.0,57000.0,Female,Boston,No,
18,2023-01-18,40.0,56000.0,Male,Los Angeles,Yes,
19,2023-01-19,27.0,48000.0,,Chicago,No,
20,2023-01-20,,59000.0,Female,Miami,Yes,
21,2023-01-20,,59000.0,Female,Miami,Yes,